,TimeDiff,tweet_1st,tweet_2nd,Label
983,208.17194444444445,8.817598,1.3487269,1
986,208.1688888888889,10.239915,5.4030137,1
989,208.1625,10.367871,2.5262516,1
1012,208.00083333333333,9.66663,4.861313,1
1025,207.9127777777778,8.136839,2.7167628,1
1031,207.84333333333333,9.059042,4.088868,1
1032,207.84027777777777,6.8141203,1.841053,0
1034,207.82972222222224,7.7249017,0.8931117,0
1042,207.7905555555556,6.2538924,2.4152524,1
1050,207.7425,8.181853,6.7725024,0
1053,207.73527777777775,6.067047,1.4656442,0
1073,207.6175,5.0035596,5.7889266,0
1079,207.57833333333332,8.42232,1.3834779,1
1099,207.45277777777775,5.4923506,2.4181716,1
1102,207.44472222222225,7.712101,7.463427,1
1105,207.4355555555556,6.57569,3.0159507,1
1117,207.3322222222222,4.9946637,5.6907363,0
1119,207.30777777777777,5.897227,2.5529015,1
1126,207.26472222222225,6.226593,3.3898408,1
1130,207.23944444444444,5.7078886,2.583318,0
1131,207.2375,6.599794,2.3409472,1
1135,207.22833333333327,6.468652,6.220644,0
1136,207.22194444444443,4.7678185,1.7014142,1
1140,207.19972222222225,6.5547934,3.0188475,1
1146,207.165,6.2859144,3.435284,0
1150,207.1533333333333,8.084748,6.6431723,1
1151,207.15277777777777,8.031461,2.7701917,1
1152,207.15027777777777,10.132821,3.7765064,0
1165,207.04833333333332,4.739543,1.7364937,1
1170,207.0113888888889,7.409514,4.454832,1
1173,207.00027777777777,6.504621,3.2805426,1
1186,206.90472222222223,4.339963,2.4592032,1
1192,206.86888888888888,5.968288,2.9913824,0
1216,206.7263888888889,8.410994,0.9473871,1
1228,206.63777777777776,7.8462934,6.966691,1
1260,206.47333333333333,5.915754,3.0294483,0
1286,206.29888888888888,9.135364,2.0599606,1
1301,206.17277777777775,7.818021,6.787094,1
1311,206.07666666666665,4.958457,1.9866925,0
1313,206.06472222222223,9.976844,4.763222,1
1318,206.03277777777777,7.404356,1.5859933,0
1324,206.0,8.695462,3.168399,1
1327,205.97222222222223,5.0377083,2.4296496,0
1334,205.91722222222225,9.664647,5.4908557,1
1358,205.63611111111112,7.9792705,6.8519497,0
1363,205.6027777777778,8.630189,6.422023,1
1364,205.6027777777778,4.780929,1.7566203,1
1365,205.5911111111111,5.88806,2.7057006,0
1380,205.4777777777778,9.139713,0.6506275,1
1381,205.4713888888889,5.690422,3.0450542,0
1383,205.45277777777775,10.7180195,4.6066103,1
1404,205.1833333333333,9.234253,1.734422,1
1413,205.0377777777778,8.855559,1.7546265,1
1414,205.0355555555556,7.174553,4.1150975,1
1421,205.0005555555556,10.016327,4.3537817,1
1428,204.9405555555556,8.603097,2.433083,1
1441,204.7086111111111,8.095392,3.0563297,1
1465,204.36666666666667,8.152791,2.4209826,0
1483,204.025,5.9293404,1.7314645,1
1485,204.0133333333333,8.796206,7.1196876,0
1489,204.00083333333333,8.60368,6.5403843,1
1490,203.9955555555556,12.821654,-7.5484304,1
1491,203.995,12.821636,-7.548399,1
1492,203.98638888888888,9.397785,1.150878,1
1493,203.9808333333333,12.8216305,-7.548386,1
1494,203.96944444444443,12.8216305,-7.548326,1
1504,203.51833333333332,8.42039,3.3510258,1
1517,203.27388888888888,5.893487,4.0725837,1
1522,203.2436111111111,8.568709,1.5767514,1
1532,203.15027777777777,5.709112,3.3134584,0
1542,202.97472222222223,5.013732,2.662611,0
1544,202.92638888888888,7.211521,1.169153,1
1546,202.91222222222223,6.9295607,1.3752745,0
1549,202.8372222222222,8.493872,0.96656185,1
1554,202.7161111111111,5.3443193,6.7964997,1
1559,202.6613888888889,5.3496327,6.845041,1
1560,202.58388888888888,6.9644284,0.7911518,0
1567,202.38611111111112,7.547204,7.6773376,1
1568,202.3486111111111,8.49317,1.5533252,1
1575,202.10805555555555,7.044006,3.8511174,1
1579,202.0280555555556,8.946971,2.0154247,1
1580,202.00972222222225,9.429765,4.0383673,1
1586,201.9055555555556,9.274359,0.9181512,1
1632,200.64527777777775,5.385612,6.957619,1
1650,200.0980555555556,10.720306,4.612987,1
1651,200.09722222222223,9.549926,1.1616398,1
1659,199.89222222222224,3.2286675,2.1698353,0
1663,199.7447222222222,5.2798405,2.948458,1
1675,199.3855555555556,9.605357,1.1063865,1
1680,199.26444444444445,9.466867,1.3412726,1
1697,198.79444444444445,8.37802,1.6462132,1
1716,197.83527777777775,7.211529,3.6274714,1
1720,197.54916666666668,7.0086894,7.0737205,1
1728,197.3358333333333,6.597135,6.4838963,0
1731,197.2733333333333,5.7137027,2.536925,0
1736,197.17944444444444,10.27348,6.37751,1
1745,197.06666666666663,8.653218,3.350388,1
1748,196.95638888888888,5.149095,3.066173,0
1750,196.9272222222222,9.531296,1.1784618,1
1782,196.2913888888889,3.4485435,3.4192507,1
1804,195.7086111111111,6.636023,0.84926564,1
1809,195.67444444444445,7.771812,4.239535,0
1816,195.535,6.1657987,5.7986956,1
1819,195.50333333333333,9.393461,3.4386072,1
1822,195.425,9.585092,1.1228981,1
1838,195.1905555555556,8.835272,3.227273,1
1842,195.10777777777776,10.156533,2.1475668,1
1857,194.86055555555555,5.9974103,3.1072743,1
1866,194.79805555555555,8.907847,1.4621369,1
1873,194.71,4.707944,2.8005378,0
1884,194.60944444444445,5.898587,2.9043226,1
1889,194.4633333333333,9.622798,5.0542574,1
1890,194.4633333333333,9.630149,5.035662,1
1892,194.45055555555555,5.8703904,3.0300727,0
1893,194.45,6.770644,5.510518,1
1911,194.32083333333333,8.7808275,1.7767779,1
1921,194.22666666666663,10.316898,2.7968524,1
1938,194.12916666666663,9.548882,1.1318403,1
1957,194.01277777777776,7.529991,5.3405104,0
1959,194.0105555555556,7.933988,5.412226,1
1963,194.00027777777777,8.0710125,6.789443,1
1975,193.92138888888888,5.837756,3.489032,1
1988,193.77166666666668,6.643366,2.6907122,1
1991,193.7538888888889,7.928431,7.1107635,1
2018,193.57611111111112,8.088191,1.5939524,1
