,TimeDiff,tweet_1st,tweet_2nd,Label
15959,109.94111111111113,5.928052,3.3731856,0
16065,109.75055555555556,7.5150304,2.4071226,1
16340,109.24805555555557,6.6548223,0.81232446,1
16405,109.11527777777778,7.2066865,3.269257,1
16522,108.91333333333333,7.3939266,2.0752966,1
16630,108.5911111111111,6.0173273,3.185934,1
16740,108.0838888888889,8.246776,0.8729176,1
16807,107.76277777777776,7.471167,2.372059,1
17032,106.95861111111113,5.218374,6.5081196,1
17039,106.9225,5.225188,6.6545157,1
17042,106.91777777777776,7.710538,2.6564436,1
17314,105.59444444444443,7.8388004,2.2480726,1
17433,104.9263888888889,7.638802,2.57185,1
17454,104.77666666666669,5.524785,6.189156,1
17516,104.46138888888888,7.6973886,2.7767546,0
17552,104.28055555555557,7.016465,2.596966,1
17828,102.95166666666668,7.690014,2.7460167,1
17911,102.62472222222222,7.6805053,2.741129,0
17977,102.41972222222222,7.653686,2.7526689,1
18016,102.28222222222222,7.405952,2.3543093,1
18039,102.18416666666668,8.068846,2.189423,1
18077,102.10805555555557,7.487161,2.4936526,1
18119,101.98416666666668,7.4039774,2.7208486,1
18466,101.30444444444444,8.27216,3.4386387,1
18508,101.24444444444444,7.7214375,2.7838356,1
18514,101.23666666666666,7.44046,2.3961756,1
18634,101.02722222222222,7.433859,2.3902845,1
18829,100.72333333333331,8.027123,2.466937,1
18945,100.58583333333333,7.6541924,2.7461476,0
19415,99.92833333333331,7.587929,2.341756,1
19447,99.87944444444445,4.9072313,6.3549128,1
19508,99.79722222222222,7.5378532,2.4409685,1
19593,99.68472222222222,7.4659934,2.2017207,1
19844,99.42972222222222,7.708265,2.7099056,1
19891,99.37416666666668,7.343535,2.3280897,1
19973,99.27111111111113,7.677301,2.7197049,1
20014,99.23166666666668,7.4954596,2.372809,1
20059,99.18638888888889,7.8257365,2.4678082,1
20210,99.04305555555555,7.7108245,2.7955222,1
20237,99.0175,7.6389246,2.39108,1
20376,98.88888888888889,7.7150335,2.7596223,0
20395,98.86555555555556,6.274388,3.2998352,1
20428,98.83444444444444,6.647865,6.2907224,1
20564,98.7,7.801593,2.5302496,1
20578,98.6825,7.549405,2.515154,1
20632,98.62305555555557,7.7808423,2.3803866,1
20684,98.57,11.479863,5.524873,1
21093,98.12333333333332,8.22543,2.2572603,1
21107,98.11027777777778,7.1267962,3.2190642,1
21178,98.0525,7.3556333,2.4688277,1
21225,97.99972222222222,7.5214305,2.3423562,1
21319,97.90083333333334,7.1843305,2.2584956,1
21348,97.87222222222222,7.8401914,2.4346118,1
21357,97.86583333333331,7.3501124,2.4338903,1
21430,97.80305555555556,7.2381606,2.3016253,1
21586,97.62944444444445,7.9875956,2.285233,1
21620,97.5838888888889,7.237752,2.2174115,0
21756,97.42138888888888,6.9307094,2.115787,0
21765,97.40805555555556,7.321321,2.7275202,1
21800,97.3825,7.707962,2.6741953,1
21829,97.34805555555556,9.52144,1.9214058,0
21846,97.33333333333331,7.7998986,2.3481255,1
21953,97.23472222222222,7.0313706,2.27304,1
22116,97.0261111111111,4.6757593,5.0997887,1
22132,97.00583333333331,7.407019,2.2119887,0
22156,96.98583333333332,7.7855783,2.2757006,1
22515,96.54,7.409023,2.440525,1
22731,96.25861111111112,7.4956417,2.4614236,1
22826,96.10777777777778,7.4558854,2.3197398,1
22887,96.01638888888888,7.6307793,2.6230574,1
22894,96.0,7.429285,2.4617372,1
22969,95.88888888888889,7.998141,2.3217292,1
