,TimeDiff,tweet_1st,tweet_2nd
242,213.2313888888889,2.142129,2.6451204
243,213.22277777777776,10.085196,2.9963343
244,213.22277777777776,8.804226,2.270381
245,213.21194444444444,6.631465,5.5081105
246,213.205,-2.8033926,15.666311
247,213.17305555555555,8.408017,3.3451135
248,213.15666666666667,8.380272,1.357813
249,213.155,5.572846,1.042426
251,213.13666666666663,7.455463,1.9748621
252,213.1338888888889,4.8039727,3.3171773
253,213.1211111111111,8.232734,1.8242403
256,213.10166666666663,10.425015,2.4483058
258,213.0930555555556,4.9565783,2.240509
259,213.0861111111111,6.8070498,0.61253154
260,213.0847222222222,5.251439,6.5951405
261,213.0811111111111,5.9150085,0.8135295
262,213.0558333333333,3.5312347,3.348806
264,213.02388888888888,7.6648855,0.73789424
265,213.0102777777778,5.991385,0.9377133
268,213.00277777777777,7.3801985,3.5775952
269,213.00194444444443,6.5530434,6.374822
271,212.9922222222222,6.3495135,0.31947657
272,212.9802777777778,4.8199463,0.6518359
273,212.97416666666663,3.1365273,4.762998
274,212.9705555555556,6.4587393,0.7737226
275,212.9675,9.638756,3.754937
276,212.9675,4.8875475,3.5175974
278,212.9636111111111,9.328851,6.5474467
279,212.95222222222225,8.6370535,2.5763583
280,212.95055555555555,4.959544,0.5950243
281,212.9413888888889,9.501086,3.6852317
284,212.9152777777778,4.810734,0.60606736
285,212.90527777777777,5.6502485,1.7212965
286,212.905,8.674601,1.908304
287,212.90166666666667,4.856733,0.6244762
288,212.90027777777777,4.562191,5.3479214
289,212.8972222222222,6.9774523,2.3169737
290,212.89055555555555,3.4946682,3.4240892
291,212.88861111111112,5.485564,2.406409
292,212.88777777777776,4.7738595,0.55951023
294,212.8875,8.2771,2.5912354
295,212.88722222222225,6.4820266,0.42306408
296,212.88694444444445,8.239029,1.2124848
297,212.8830555555556,5.3416214,6.805677
299,212.8755555555556,4.795771,0.7760001
300,212.87222222222223,-2.6489148,15.856202
301,212.8686111111111,11.919561,3.9573467
302,212.86277777777775,8.037462,1.3786576
304,212.8527777777778,5.8486032,0.6009071
305,212.84333333333333,4.7714677,0.5933881
306,212.8411111111111,7.1931458,2.4990375
307,212.83694444444444,5.3876576,6.9993916
308,212.83638888888888,2.5838866,2.7410223
309,212.8336111111111,8.033608,5.7485166
310,212.82916666666668,6.5291734,1.5714179
311,212.82666666666665,5.523447,1.1642126
312,212.82638888888889,4.7846403,0.5827591
314,212.82083333333333,5.6521525,5.5204334
315,212.81,4.868211,0.66661566
316,212.80305555555557,5.3829083,6.927934
317,212.80166666666668,5.3837767,6.9198294
319,212.77055555555555,4.747376,0.6066762
320,212.76694444444445,6.9992533,1.1816927
321,212.76694444444445,6.9544196,3.1853113
322,212.7516666666667,4.764931,0.5885991
323,212.75027777777777,7.3492064,1.6378316
324,212.7480555555556,8.885252,7.084103
326,212.735,4.9837184,0.6780936
327,212.71833333333333,8.594727,7.3458524
328,212.71444444444444,9.134353,6.6062603
329,212.71027777777775,10.851791,4.13348
330,212.70944444444444,4.810076,0.6348923
331,212.6963888888889,4.887592,0.6936088
332,212.68444444444444,6.5309815,0.5225696
336,212.6555555555556,-11.334735,3.1455686
337,212.6533333333333,4.660249,3.5219994
338,212.65222222222224,6.5512333,1.2084334
339,212.64027777777775,10.254155,4.059821
340,212.6325,4.8359137,0.6198436
343,212.61,6.075765,0.7190424
344,212.60805555555555,11.871871,3.9979742
345,212.60805555555555,7.3747325,2.8983064
346,212.6075,11.07418,3.5009506
347,212.60666666666663,7.2928643,2.0577035
350,212.58638888888888,3.4644883,2.9012456
351,212.5702777777778,8.735331,3.142875
352,212.56722222222223,4.8722343,1.1758685
353,212.55388888888888,5.5221376,6.901988
354,212.5525,6.187518,6.0386863
