,TimeDiff,tweet_1st,tweet_2nd,Label
2818,187.0080555555556,6.857524,2.3701959,0
2822,186.9988888888889,6.981322,3.174829,0
2825,186.9802777777778,5.8191986,1.3337058,1
2826,186.97222222222223,6.2802587,5.8359437,1
2842,186.84972222222223,6.3125834,3.793448,1
2848,186.82944444444445,8.681028,4.962025,0
2862,186.74694444444444,9.324632,1.6276134,1
2880,186.6225,6.338467,0.45247623,0
2885,186.60777777777776,6.7507343,5.485956,1
2886,186.60361111111112,6.237845,0.6857259,0
2891,186.56472222222223,6.0240436,1.7087476,0
2899,186.5075,9.497038,0.6444406,1
2928,186.35361111111112,7.2430687,3.2279148,1
2952,186.2813888888889,7.338087,1.0727471,1
2975,186.11055555555555,9.521514,0.6603605,1
2979,186.09833333333333,9.544302,1.2082901,1
2996,186.0063888888889,6.6329727,1.5693182,0
2998,186.00027777777777,8.891199,3.1893158,1
3042,185.76111111111112,6.6383276,5.49303,1
3047,185.74694444444444,5.2020245,1.0311078,0
3054,185.72083333333333,8.667419,1.5586556,1
3058,185.71472222222224,7.135698,2.9241147,1
3070,185.63166666666663,9.367573,1.5015591,1
3077,185.6172222222222,8.723801,3.2759604,1
3088,185.56333333333333,8.25731,4.478615,1
3145,185.36805555555557,7.359739,4.8754563,1
3146,185.36666666666667,9.4319315,1.4352139,1
3198,185.16944444444445,8.687514,3.2153013,0
3229,185.08638888888888,6.744436,0.9102897,0
3235,185.0547222222222,7.8102098,4.70939,0
3239,185.0405555555556,8.808439,3.855134,1
3249,185.0175,8.775816,4.170875,1
3253,185.01277777777776,4.7969217,6.560074,1
3257,185.0005555555556,6.706759,0.83957213,0
3286,184.90166666666667,4.8257546,2.5639064,0
3344,184.67444444444445,8.595948,5.1491075,1
3393,184.50333333333333,8.313353,1.1655413,1
3396,184.5,5.593291,4.319034,0
3406,184.48,7.096261,5.3676033,1
3409,184.47833333333327,6.643218,5.316976,1
3416,184.45444444444445,6.4563637,0.8228601,0
3424,184.43444444444444,6.899153,2.8718662,0
3428,184.4261111111111,8.932143,1.8966341,1
3434,184.4175,8.748769,4.298181,1
3439,184.40416666666667,6.7275057,2.8473485,1
3447,184.3825,7.5813103,4.0487857,1
3452,184.36638888888888,8.719235,3.6285713,1
3479,184.2788888888889,5.4102373,6.9110594,1
3516,184.1925,9.622089,0.91359013,1
3526,184.1630555555556,5.3037815,6.7670383,1
3531,184.1352777777778,6.697887,3.2197533,0
3539,184.0975,8.757029,3.9508355,1
3554,184.0355555555556,5.7127237,4.7371573,0
3602,183.9427777777778,5.6468863,1.9117376,0
3604,183.94,8.66461,2.831369,0
3632,183.8455555555556,9.535215,1.0920149,1
3661,183.7483333333333,10.2606735,3.18966,0
3671,183.72277777777776,6.4417887,3.7932148,1
3674,183.70666666666668,6.1243014,0.42307743,0
3681,183.67416666666668,7.6152387,0.9661165,0
3694,183.6197222222222,9.536836,5.580517,0
3699,183.6038888888889,8.644452,3.2365835,1
3717,183.5402777777778,7.375002,0.88927376,0
3740,183.49138888888888,5.4018607,6.4379764,1
3747,183.46972222222223,8.026473,4.744093,0
3751,183.455,7.6646953,3.2397084,1
3787,183.3141666666667,6.0972567,1.2204403,0
3794,183.2925,6.513803,0.79953885,0
3796,183.2811111111111,9.4831295,1.3688511,1
3797,183.27916666666667,6.607651,3.3917546,0
3813,183.23,7.9170275,3.2530296,0
3826,183.20055555555555,7.636167,1.6419736,1
3830,183.1863888888889,8.610601,3.4174967,1
3837,183.15777777777777,6.161887,1.4132005,1
3842,183.13944444444445,8.839184,3.6159353,1
3862,183.07361111111112,4.108507,3.6690302,1
3884,182.9988888888889,6.529169,0.88740337,0
3891,182.97027777777777,7.011813,1.901733,0
3892,182.9525,7.209424,3.633902,1
3907,182.91472222222225,8.259535,6.1693234,0
3941,182.77777777777777,8.355147,3.6856656,0
3942,182.7736111111111,9.4771595,1.3367516,1
3949,182.7516666666667,7.0822983,0.7221863,0
3953,182.7325,8.808876,3.2780771,1
3988,182.5861111111111,9.55779,1.0597543,1
4018,182.47472222222223,8.76177,3.0557673,1
4059,182.30027777777775,7.2811947,4.598918,1
4061,182.2880555555556,10.317499,1.75593,0
4068,182.2511111111111,9.029509,2.7148232,1
4070,182.23666666666668,9.9941845,0.49736598,1
4071,182.23638888888888,8.321273,4.2847667,1
4078,182.215,9.268913,1.9380423,1
4091,182.17388888888888,5.828299,1.190833,0
4099,182.15027777777777,7.143631,4.6839514,0
4105,182.1325,6.656936,5.076215,0
4119,182.04694444444445,5.56706,0.8149429,0
