,TimeDiff,tweet_1st,tweet_2nd,Label
2624,188.57361111111112,6.625159,1.402729,1
2635,188.52777777777777,8.794726,3.7753181,1
2650,188.3802777777778,7.020679,2.2132347,0
2658,188.27138888888888,8.113816,1.3151007,0
2679,188.0936111111111,6.6563478,1.3101786,1
2685,188.07861111111112,6.212232,0.8958984,1
2723,187.75083333333333,7.4030232,0.6835927,1
2764,187.3686111111111,9.540656,3.509253,1
2782,187.23583333333332,7.907791,4.5746903,1
2807,187.0938888888889,7.6695237,1.6455269,0
2836,186.93138888888888,7.623579,5.637692,1
2846,186.83666666666667,8.6311245,1.1316079,0
2897,186.52055555555555,7.2214437,0.9547056,0
2915,186.4105555555556,6.376357,0.64457226,0
2974,186.1136111111111,5.984481,3.3184662,0
2984,186.0702777777778,6.995591,1.5803179,0
3012,185.9308333333333,7.2665153,1.2955048,0
3035,185.80638888888888,6.274055,1.4744109,1
3048,185.74666666666667,7.112427,1.1121238,1
3163,185.2788888888889,8.5172205,1.5643519,0
3184,185.20472222222224,6.3779597,0.39584273,0
3190,185.19194444444443,8.280284,3.7002592,1
3195,185.1861111111111,8.357839,3.1101196,0
3243,185.0311111111111,7.1722064,3.067103,0
3273,184.9405555555556,3.869513,2.7979498,1
3287,184.8936111111111,5.1535106,0.6893628,1
3293,184.8830555555556,7.005271,0.89738137,1
3302,184.85333333333327,6.5468516,1.546822,1
3325,184.76277777777776,9.135312,2.1414356,1
3333,184.74277777777775,5.348848,6.737063,0
3346,184.66722222222225,8.8214035,3.3470502,1
3369,184.5641666666667,7.5259523,3.9975867,1
3390,184.5055555555556,6.767426,0.882997,0
3476,184.2875,4.7289915,3.4681897,1
3480,184.2761111111111,6.312481,1.702038,0
3491,184.2525,5.8907824,1.1929362,0
3505,184.2136111111111,7.711626,1.3698888,0
3537,184.11666666666667,5.9305286,2.8799472,0
3627,183.8708333333333,9.01639,3.337383,1
3768,183.38222222222225,8.458548,3.2886374,0
3773,183.37027777777777,8.95809,2.405717,1
3843,183.13583333333327,7.754277,0.8346499,0
3874,183.01916666666668,8.4176445,7.2835464,0
3877,183.0102777777778,7.178305,0.36059487,1
3900,182.93166666666667,7.103611,1.0956368,0
3944,182.75972222222225,7.5687046,4.312258,1
3951,182.7483333333333,6.2922463,0.5870508,0
3965,182.70138888888889,8.352102,4.2672653,1
4038,182.39055555555555,6.1751065,2.853578,0
4110,182.08666666666667,6.19756,1.4505005,1
4115,182.06277777777777,5.5384088,2.2073047,0
4121,182.04166666666663,7.6742363,7.3829703,1
4132,182.00861111111112,7.4491925,4.0313115,1
4149,181.9633333333333,5.865533,3.481953,1
4207,181.7736111111111,9.140733,4.842349,0
4221,181.68972222222223,8.923992,4.3007507,1
4373,181.00944444444443,6.4988194,2.8094409,0
4382,180.99027777777775,8.764459,3.224471,1
4401,180.88916666666665,6.829181,2.9369476,1
